排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数,短评
13,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1380510,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1551259,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,1091825,小瓦力，大人生。
16,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 喜剧 音乐,9.3,1075126,天籁一般的童声，是最接近上帝的存在。 
17,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1254447,一生所爱。
18,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,1515898,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,无间道,导演: 刘伟强 / 麦兆辉,2002,中国香港,剧情 犯罪 惊悚,9.2,1041977,香港电影史上永不过时的杰作。
20,熔炉,导演: 黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,9.3,761994,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,9.3,762755,千万不要记恨你的对手，这样会让你失去理智。
22,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,9.1,1246463,平民励志片。 
23,龙猫,导演: 宫崎骏 Hayao Miyazaki,1988,日本,动画 奇幻 冒险,9.2,1039556,人人心中都有个龙猫，童年就永远不会消失。
24,怦然心动,导演: 罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,9.1,1472071,真正的幸福是来自内心深处。
25,控方证人,导演: 比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑,9.6,363036,比利·怀德满分作品。
26,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,法国,剧情 喜剧,9.3,814839,满满温情的高雅喜剧。
27,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,851049,无尽的黑暗。
28,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,652622,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
29,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,1289888,死亡不是真的逝去，遗忘才是永恒的消亡。
30,活着,导演: 张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,660470,张艺谋最好的电影。
31,何以为家,导演: 娜丁·拉巴基 Nadine Labaki,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,817288,凝视卑弱生命，用电影改变命运。
32,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,560995,Tomorrow is another day.
33,哈利·波特与魔法石,导演: Chris Columbus,2001,美国 英国,奇幻 冒险,9.1,867292,童话世界的开端。
34,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.2,618999,史诗的终章。
35,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.0,1086694,最后那些最无聊的事情，才是最值得怀念的。 
36,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,1283932,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,素媛,导演: 李濬益 Jun-ik Lee,2013,韩国,剧情,9.3,536632,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
38,少年派的奇幻漂流,导演: 李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1137567,瑰丽壮观、无人能及的冒险之旅。
39,十二怒汉,导演: Sidney Lumet,1957,美国,剧情,9.4,376062,1957年的理想主义。 
40,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.1,808312,带着心爱的人在天空飞翔。
41,鬼子来了,导演: 姜文 Wen Jiang,2000,中国大陆,剧情 喜剧,9.3,501743,对敌人的仁慈，就是对自己残忍。
42,我不是药神,导演: 文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,1707553,对我们国家而言，这样的电影多一部是一部。
43,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,998581,旷古烁今。
44,天空之城,导演: 宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.1,682146,对天空的追逐，永不停止。 
45,罗马假日,导演: 威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.0,791375,爱情哪怕只有一天。
46,闻香识女人,导演: 马丁·布莱斯 Martin Brest,1992,美国,剧情,9.1,693674,史上最美的探戈。
47,辩护人,导演: 杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,494948,电影的现实意义大过电影本身。
48,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,519297,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
49,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,9.0,718929,骗子大师和执著警探的你追我跑故事。 
50,大闹天宫,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,1961(中国大陆) , 1964(中国大陆) , 1978(中国大陆) ,9.4,334499,经典之作，历久弥新。
51,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.2,448869,音乐能化解仇恨。
52,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.1,566879,承前启后的史诗篇章。
53,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.2,427979,优雅的孤独。
54,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.1,670330,动物版《哈姆雷特》。
55,搏击俱乐部,导演: 大卫·芬奇 David Fincher,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚,9.0,697347,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
56,死亡诗社,导演: 彼得·威尔 Peter Weir,1989,美国,剧情,9.1,564509,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
57,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国 澳大利亚,动作 科幻,9.0,650436,视觉革命。
58,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.0,659906,传说的开始。
59,让子弹飞,导演: 姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,8.9,1315115,你给我翻译翻译，神马叫做TMD的惊喜。
60,绿皮书,导演: 彼得·法雷里 Peter Farrelly,2018,美国 中国大陆,剧情 喜剧 传记,8.9,1264264,去除成见，需要勇气。
61,饮食男女,导演: 李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.1,477591,人生不能像做菜，把所有的料都准备好了才下锅。
62,美丽心灵,导演: 朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.0,616902,爱是一切逻辑和原由。
63,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,剧情 悬疑,9.2,456950,别样人生。
64,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer,2015,德国 瑞士,剧情 冒险 家庭,9.2,367752,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
65,两杆大烟枪,导演: Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,492022,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
66,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,8.9,800187,在时间之河里感受溺水之苦。
67,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,979839,你以为你以为的就是你以为的。
68,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,469636,自由万岁。
69,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.9,791684,美丽无罪。
70,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.1,418481,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
71,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 战争,9.0,524666,美利坚精神输出大片No1.
72,小鞋子,导演: 马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,329113,奔跑的孩子是天使。
73,音乐之声,导演: 罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.1,485820,用音乐化解仇恨，让歌声串起美好。
74,情书,导演: 岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,731889,暗恋的极致。
75,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,308463,海豚的微笑，是世界上最高明的伪装。
76,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron,2009,美国,动作 科幻 冒险,8.8,1147616,绝对意义上的美轮美奂。
77,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚,8.9,698451,孪生蝙蝠侠大战克隆金刚狼。
78,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情,9.2,336547,往事如烟，无处祭奠。
79,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.9,692716,安东尼·霍普金斯的顶级表演。
80,禁闭岛,导演: Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.8,769060,昔日翩翩少年，今日大腹便便。
81,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.9,673763,故事的高级讲法。
82,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.8,756604,人的命运被自己瞬间的抉择改变。
83,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant,1997,美国,剧情,8.9,569895,人生中应该拥有这样的一段豁然开朗。
84,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,721125,小清新的故事里注入了大历史的情怀。
85,七宗罪,导演: 大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,785559,警察抓小偷，老鼠玩死猫。
86,春光乍泄,导演: 王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,8.9,508573,爱情纠缠，男女一致。
87,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,8.9,631142,10年的完美句点。
88,摩登时代,导演: 查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,233990,大时代中的人生，小人物的悲喜。
89,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,596268,以戏谑来戏谑戏谑。
90,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.8,778540,我是一个演员。
91,致命ID,导演: 詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.8,649091,最不可能的那个人永远是最可能的。
92,杀人回忆,导演: 奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,549622,关于连环杀人悬案的集体回忆。
93,剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,890329,浪漫忧郁的成人童话。
94,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.8,708213,约翰尼·德普的独角戏。
95,勇敢的心,导演: 梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,486692,史诗大片的典范。
96,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,302255,人言可畏。
97,请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性,8.9,546753,沉醉在电影的情感和视听氛围中无法自拔。
98,红辣椒,导演: 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.0,342928,梦的勾结。
99,断背山,导演: 李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,593588,每个人心中都有一座断背山。
100,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,841758,法式小清新。 
101,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,439822,《我是山姆》的《美丽人生》。
102,幽灵公主,导演: 宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,437760,人与自然的战争史诗。
