排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数,短评
142,傲慢与偏见,导演: 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.7,632701,爱是摈弃傲慢与偏见之后的曙光。
143,教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,8.9,285828,任何信念的力量，都无法改变命运。
144,釜山行,导演: 延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.6,947853,揭露人性的丧尸题材力作。
145,血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,650814,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
146,哪吒闹海,导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang,1979,中国大陆,冒险 动画 奇幻,9.1,204269,想你时你在闹海。
147,一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.9,335522,惠及一生的美丽。
148,被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.8,488846,热血沸腾，那个低俗、性感的无耻混蛋又来了。
149,七武士,导演: 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.3,155289,时代悲歌。
150,喜宴,导演: 李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,8.9,276315,中国家庭的喜怒哀乐忍。
151,电锯惊魂,导演: 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,419055,真相就在眼前。
152,头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.7,1127942,写给影迷，动漫迷和游戏迷的一封情书。
153,我是山姆,导演: 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,9.0,255494,爱并不需要智商 。
154,风之谷,导演: 宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,304709,动画片的圣经。
155,未麻的部屋,导演: 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,9.0,233902,好的剧本是，就算你猜到了结局也猜不到全部。
156,英雄本色,导演: 吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.7,420579,英雄泪短，兄弟情长。 
157,上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,9.0,252871,被上帝抛弃了的上帝之城。
158,疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,8.7,705587,老少皆宜，这就是好莱坞动画的魅力。
159,谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,8.8,347651,像吃了苏打饼一样干脆的电影。
160,卢旺达饭店,导演: 特瑞·乔治 Terry George,2004,英国 南非 意大利,剧情 传记 历史 战争,8.9,252253,当这个世界闭上双眼，他却敞开了怀抱。
161,三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh,2017,美国 英国,剧情 犯罪,8.7,676371,怼天怼地，你走后，她与世界为敌。
162,纵横四海,导演: 吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,334911,香港浪漫主义警匪动作片的巅峰之作。
163,花样年华,导演: 王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.7,469443,偷情本没有这样美。
164,新世界,导演: 朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.9,293773,要做就做得狠一点，这样才能活下去。
165,模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.7,498097,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
166,达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,365560,Jared Leto的腿比女人还美！
167,岁月神偷,导演: 罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,498586,岁月流逝，来日可追。
168,黑客帝国3：矩阵革命,导演: Andy Wachowski / Larry Wachowski,2003,美国 澳大利亚,动作 科幻,8.8,348527,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
169,心迷宫,导演: 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,403406,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
170,头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.7,482339,愿我们都不用长大，每一座城堡都能永远存在。
171,记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,502688,一个针管引发的血案。
172,你的名字。,导演: 新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.4,1121574,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
173,忠犬八公物语,导演: Seijirô Kôyama,1987,日本,剧情,9.2,154888,养狗三日，便会对你终其一生。
174,荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,348717,始于荒诞，止于更荒诞。
